season,Season_Type,Week,Home_team,Visit_Team,Qtr,PlayDescription,gamekey,playid,Preview Link
2017,Reg,2,Denver Broncos,Dallas Cowboys,4,"(6:21) R.Dixon punts 35 yards to DAL 35, Center-C.Kreiter, out of bounds.",426,3782,http://a.video.nfl.com//films/vodzilla/153556/Dixon_punts_35_yards-sZTH8vyP-20181121_15403317_5000k.mp4
2017,Reg,2,Denver Broncos,Dallas Cowboys,4,"(3:34) R.Dixon punts 46 yards to DAL 44, Center-C.Kreiter. R.Switzer to DEN 37 for 19 yards (C.Kreiter).",426,4135,http://a.video.nfl.com//films/vodzilla/153557/Dixon_punts_46_yards-JYVDzGOa-20181121_154107173_5000k.mp4
2017,Reg,2,Los Angeles Rams,Washington Redskins,1,"(12:14) J.Hekker punts 33 yards to WAS 21, Center-J.McQuaide, out of bounds.",427,205,http://a.video.nfl.com//films/vodzilla/153605/Hekker_punts_33_yards-O2hmw8sE-20181122_113118250_5000k.mp4
2017,Reg,2,Los Angeles Rams,Washington Redskins,1,"(3:22) J.Hekker punts 55 yards to WAS 35, Center-J.McQuaide. J.Crowder to WAS 35 for no gain (B.Countess).",427,689,http://a.video.nfl.com//films/vodzilla/153607/Hekker_punts_55_yards-BEHwOlN8-20181122_113152540_5000k.mp4
2017,Reg,2,Seattle Seahawks,San Francisco 49ers,3,"(:41) J.Ryan punts 37 yards to SF 30, Center-T.Ott, out of bounds.",428,3196,http://a.video.nfl.com//films/vodzilla/153608/Jon_Ryan_37_yard_punt-zWAFh8fq-20181122_113656882_5000k.mp4
2017,Reg,2,Seattle Seahawks,San Francisco 49ers,4,"(4:59) B.Pinion punts 51 yards to SEA 22, Center-K.Nelson. T.Lockett to SEA 22 for no gain (R.Mostert). PENALTY on SEA-S.Griffin, Illegal Block Above the Waist, 10 yards, enforced at SEA 22.",428,3878,http://a.video.nfl.com//films/vodzilla/153609/Pinion_51_yard_punt-gfWKu5I6-20181122_113837202_5000k.mp4
2017,Reg,2,Atlanta Falcons,Green Bay Packers,1,"(2:58) M.Bosher punts 50 yards to GB 36, Center-J.Harris, fair catch by T.Davis.",429,701,http://a.video.nfl.com//films/vodzilla/153610/Bosher_50_yard_punt-p6uvOnGY-20181122_113926360_5000k.mp4
2017,Reg,2,Atlanta Falcons,Green Bay Packers,1,"(:41) J.Vogel punts 44 yards to ATL 23, Center-B.Goode. A.Roberts pushed ob at ATL 27 for 4 yards (K.Fackrell). PENALTY on ATL-K.Ishmael, Offensive Holding, 10 yards, enforced at ATL 23. Penalty on ATL-B.Poole, Offensive Holding, declined.",429,819,http://a.video.nfl.com//films/vodzilla/153611/Vogel_44_yard_punt-2AQ2U4lw-20181122_114050122_5000k.mp4
2017,Reg,2,Indianapolis Colts,Arizona Cardinals,1,"(6:00) A.Lee punts 43 yards to IND 34, Center-A.Brewer. Q.Bray to IND 40 for 6 yards (T.Branch).",418,581,http://a.video.nfl.com//films/vodzilla/153614/Lee_43_yard_punt-8tbYwxyr-20181122_114408545_5000k.mp4
2017,Reg,2,Indianapolis Colts,Arizona Cardinals,2,"(12:03) R.Sanchez punts 48 yards to ARZ 42, Center-L.Rhodes. K.Williams to ARZ 48 for 6 yards (M.Farley). Penalty on IND-J.George, Offensive Holding, offsetting, enforced at IND 10 - No Play. Penalty on ARZ-B.Williams, Offensive Holding, offsetting.",418,1078,http://a.video.nfl.com//films/vodzilla/153618/Sanchez_punts_48_yards-BMPI4APF-20181122_115550162_5000k.mp4
2017,Reg,2,Jacksonville Jaguars,Tennessee Titans,2,"(13:34) B.Nortman punts 53 yards to TEN 14, Center-M.Overton, fair catch by A.Jackson.",419,977,http://a.video.nfl.com//films/vodzilla/153619/Nortman_punts_53_yards-wkBJV3aG-20181122_120225602_5000k.mp4
2017,Reg,2,Jacksonville Jaguars,Tennessee Titans,2,"(11:56) B.Kern punts 41 yards to JAX 41, Center-B.Brinkley, out of bounds.",419,1072,http://a.video.nfl.com//films/vodzilla/153620/Kern_punts_41_yards-TQlddVc3-20181122_120304795_5000k.mp4
2017,Reg,2,Kansas City Chiefs,Philadelphia Eagles,2,"(1:21) D.Colquitt punts 51 yards to PHI 10, Center-J.Winchester. D.Sproles to PHI 20 for 10 yards (J.Winchester). FUMBLES (J.Winchester), RECOVERED by KC-A.Sherman at PHI 24. A.Sherman to PHI 24 for no gain (M.Kendricks).",420,1616,http://a.video.nfl.com//films/vodzilla/153621/Colquitt_51_yard_punt-MHYS2qxM-20181122_120407641_5000k.mp4
2017,Reg,2,Kansas City Chiefs,Philadelphia Eagles,3,"(12:49) D.Jones punts 29 yards to KC 13, Center-R.Lovato, fair catch by T.Hill.",420,2087,http://a.video.nfl.com//films/vodzilla/153625/Jones_29_yard_punt-vSJXSHOY-20181122_120718261_5000k.mp4
2017,Reg,2,New Orleans Saints,New England Patriots,3,"(11:17) T.Morstead punts 32 yards to NE 11, Center-Z.Wood, fair catch by P.Chung.",421,2579,http://a.video.nfl.com//films/vodzilla/153626/Morstead_32_yard_punt-3382Ica1-20181122_121126704_5000k.mp4
2017,Reg,2,New Orleans Saints,New England Patriots,3,"(7:42) R.Allen punts 27 yards to NO 29, Center-J.Cardona, downed by NE-M.Flowers. PENALTY on NE-D.Allen, Offensive Too Many Men on Field, 5 yards, enforced at NO 29. INJURY UPDATE: NE #25 E.Rowe, groin, questionable.",421,2870,http://a.video.nfl.com//films/vodzilla/153628/Allen_27_yard_punt-ALnrN39Z-20181122_121155817_5000k.mp4
