Season_Year,Season_Type,GameKey,Game_Date,Week,PlayID,Game_Clock,YardLine,Quarter,Play_Type,Poss_Team,Home_Team_Visit_Team,Score_Home_Visiting,PlayDescription
2016,Pre,4,08/12/2016,2,386,08:37,CLV 39,1,Punt,GB,GB-CLV,0 - 0,"(8:37) T.Masthay punts 39 yards to end zone, Center-R.Lovato, Touchback."
2016,Pre,4,08/12/2016,2,927,01:53,CLV 33,1,Punt,CLV,GB-CLV,3 - 2,"(1:53) A.Lee punts 40 yards to GB 27, Center-C.Hughlett. J.Abbrederis to GB 28 for 1 yard (B.Mingo)."
2016,Pre,4,08/12/2016,2,1056,14:18,GB 50,2,Punt,GB,GB-CLV,3 - 2,"(14:18) P.Mortell punts 33 yards to CLV 17, Center-R.Lovato, fair catch by J.Poyer."
2016,Pre,4,08/12/2016,2,1618,04:36,GB 35,2,Punt,GB,GB-CLV,3 - 5,"(4:36) T.Masthay punts 37 yards to CLV 28, Center-R.Lovato, fair catch by R.Mostert."
2016,Pre,4,08/12/2016,2,1725,02:48,CLV 19,2,Punt,CLV,GB-CLV,3 - 5,"(2:48) A.Lee punts 66 yards to GB 15, Center-C.Hughlett. J.Abbrederis to GB 20 for 5 yards (R.Mostert; D.Kindred)."
2016,Pre,4,08/12/2016,2,2795,05:00,GB 50,3,Punt,CLV,GB-CLV,13 - 5,"(5:00) A.Lee punts 49 yards to GB 1, Center-C.Hughlett, downed by CLV-R.Louis."
2016,Pre,4,08/12/2016,2,2888,03:29,GB 1,3,Punt,GB,GB-CLV,13 - 5,"(3:29) T.Masthay punts 43 yards to GB 44, Center-R.Lovato. R.Mostert pushed ob at GB 20 for 24 yards (D.Goodson). PENALTY on GB-D.Goodson, Unnecessary Roughness, 10 yards, enforced at GB 20."
2016,Pre,4,08/12/2016,2,3524,08:38,GB 24,4,Punt,GB,GB-CLV,15 - 11,"(8:38) P.Mortell punts 62 yards to CLV 14, Center-R.Lovato. R.Mostert to CLV 18 for 4 yards (K.Brice)."
2016,Pre,4,08/12/2016,2,3646,06:06,CLV 8,4,Punt,CLV,GB-CLV,15 - 11,"(6:06) A.Lee punts 50 yards to GB 42, Center-C.Hughlett, downed by CLV-M.Everette."
2016,Pre,4,08/12/2016,2,3900,02:26,CLV 41,4,Punt,GB,GB-CLV,15 - 11,"(2:26) P.Mortell punts 37 yards to CLV 4, Center-R.Lovato, out of bounds."
2016,Pre,5,08/11/2016,2,575,06:59,CHI 49,1,Punt,CHI,CHI-DEN,0 - 7,"(6:59) (Punt formation) P.O'Donnell punts 31 yards to DEN 20, Center-A.Brewer, out of bounds."
2016,Pre,5,08/11/2016,2,821,03:23,CHI 34,1,Punt,CHI,CHI-DEN,0 - 7,"(3:23) (Punt formation) P.O'Donnell punts 46 yards to DEN 20, Center-A.Brewer. K.Raymond to DEN 28 for 8 yards (C.Jones; D.Bush)."
2016,Pre,5,08/11/2016,2,933,01:51,DEN 31,1,Punt,DEN,CHI-DEN,0 - 7,"(1:51) (Punt formation) B.Colquitt punts 51 yards to CHI 18, Center-C.Kreiter. M.Mariani to CHI 30 for 12 yards (A.Janovich). PENALTY on CHI-J.Rodgers, Offensive Holding, 9 yards, enforced at CHI 18."
2016,Pre,5,08/11/2016,2,1044,00:06,CHI 12,1,Punt,CHI,CHI-DEN,0 - 7,"(:06) (Punt formation) P.O'Donnell punts 54 yards to DEN 34, Center-A.Brewer. K.Raymond to 50 for 16 yards (L.Barrow)."
2016,Pre,5,08/11/2016,2,1333,11:40,CHI 20,2,Punt,CHI,CHI-DEN,0 - 10,"(11:40) (Punt formation) P.O'Donnell punts 52 yards to DEN 28, Center-A.Brewer. K.Raymond to DEN 36 for 8 yards (S.McManis; J.Rodgers)."
2016,Pre,5,08/11/2016,2,1440,10:17,DEN 41,2,Punt,DEN,CHI-DEN,0 - 10,"(10:17) (Punt formation) R.Dixon punts 46 yards to CHI 13, Center-C.Kreiter, downed by DEN-B.Ross. PENALTY on DEN-B.Ross, Illegal Touch Kick, 5 yards, enforced at CHI 13."
2016,Pre,5,08/11/2016,2,2046,01:57,CHI 16,2,Punt,CHI,CHI-DEN,0 - 19,"(1:57) (Punt formation) P.O'Donnell punt is BLOCKED by B.Fowler, Center-A.Brewer, RECOVERED by DEN-Z.Anderson at CHI -1. TOUCHDOWN."
2016,Pre,5,08/11/2016,2,2564,13:24,CHI 28,3,Punt,CHI,CHI-DEN,0 - 20,"(13:24) (Punt formation) P.O'Donnell punts 42 yards to DEN 30, Center-P.Scales. B.Addison to DEN 43 for 13 yards (S.Perry)."
2016,Pre,5,08/11/2016,2,2680,11:14,DEN 45,3,Punt,DEN,CHI-DEN,0 - 20,"(11:14) (Punt formation) B.Colquitt punts 45 yards to CHI 10, Center-C.Kreiter. D.Braverman to CHI 10 for no gain (S.Sulleyman)."
2016,Pre,5,08/11/2016,2,3129,03:44,CHI 31,3,Punt,CHI,CHI-DEN,0 - 22,"(3:44) (Punt formation) P.O'Donnell punts 58 yards to DEN 11, Center-P.Scales. B.Addison to DEN 25 for 14 yards (K.Carey). PENALTY on DEN-S.Sulleyman, Illegal Block Above the Waist, 10 yards, enforced at DEN 25."
2016,Pre,5,08/11/2016,2,3315,00:16,DEN 44,3,Punt,DEN,CHI-DEN,0 - 22,"(:16) (Punt formation) R.Dixon punts 41 yards to CHI 15, Center-C.Kreiter. D.Braverman to CHI 15 for no gain (H.Krieger Coble)."
2016,Pre,5,08/11/2016,2,3521,12:19,CHI 46,4,Punt,CHI,CHI-DEN,0 - 22,"(12:19) (Punt formation) P.O'Donnell punts 42 yards to DEN 12, Center-P.Scales, fair catch by B.Addison."
2016,Pre,5,08/11/2016,2,3864,06:39,CHI 45,4,Punt,DEN,CHI-DEN,0 - 22,"(6:39) (Punt formation) B.Colquitt punts 37 yards to CHI 8, Center-C.Kreiter, out of bounds."
2016,Pre,5,08/11/2016,2,4095,03:40,CHI 41,4,Punt,CHI,CHI-DEN,0 - 22,"(3:40) (Punt formation) P.O'Donnell punts 59 yards to end zone, Center-P.Scales, Touchback."
2016,Pre,6,08/12/2016,2,76,13:00,PIT 19,1,Punt,PIT,PIT-DET,0 - 0,"(13:00) (Punt formation) J.Berry punts 61 yards to DET 20, Center-G.Warren. A.Roberts to DET 39 for 19 yards (A.Chickillo). PENALTY on DET-J.Bynes, Illegal Use of Hands, 10 yards, enforced at DET 20."
2016,Pre,6,08/12/2016,2,632,05:16,PIT 31,1,Punt,PIT,PIT-DET,0 - 0,"(5:16) (Punt formation) PENALTY on PIT-V.Williams, False Start, 5 yards, enforced at PIT 31 - No Play."
2016,Pre,6,08/12/2016,2,655,05:07,PIT 26,1,Punt,PIT,PIT-DET,0 - 0,"(5:07) (Punt formation) J.Berry punts 61 yards to DET 13, Center-G.Warren. J.Kerley to DET 23 for 10 yards (M.Tucker). PENALTY on DET-K.Greene, Illegal Block Above the Waist, 10 yards, enforced at DET 23."
2016,Pre,6,08/12/2016,2,852,01:07,DET 44,1,Punt,DET,PIT-DET,0 - 0,"(1:07) (Punt formation) S.Martin punts 47 yards to PIT 9, Center-D.Muhlbach, fair catch by E.Rogers."
2016,Pre,6,08/12/2016,2,958,15:00,PIT 15,2,Punt,PIT,PIT-DET,0 - 0,"(15:00) (Punt formation) J.Berry punts 57 yards to DET 28, Center-G.Warren. A.Roberts ran ob at DET 28 for no gain."
2016,Pre,6,08/12/2016,2,2518,11:37,DET 47,3,Punt,DET,PIT-DET,14 - 13,"(11:37) (Punt formation) D.Bell punts 50 yards to PIT 3, Center-J.Landes, downed by DET-D.Washington."
2016,Pre,6,08/12/2016,2,2626,09:04,PIT 10,3,Punt,PIT,PIT-DET,14 - 13,"(9:04) (Punt formation) W.Monday punts 36 yards to PIT 46, Center-M.Dooley. J.Billingsley to PIT 33 for 13 yards (X.Grimble)."
2016,Pre,6,08/12/2016,2,3236,12:04,PIT 31,4,Punt,PIT,PIT-DET,17 - 24,"(12:04) (Punt formation) W.Monday punts 48 yards to DET 21, Center-M.Dooley. J.Billingsley to DET 26 for 5 yards (L.Fort)."
2016,Pre,6,08/12/2016,2,3725,03:57,PIT 27,4,Punt,PIT,PIT-DET,17 - 30,"(3:57) (Punt formation) W.Monday punts 48 yards to DET 25, Center-M.Dooley. J.Billingsley to DET 48 for 23 yards (F.Toussaint; X.Grimble)."
2016,Pre,6,08/12/2016,2,3870,02:12,DET 31,4,Punt,DET,PIT-DET,17 - 30,"(2:12) (Punt formation) D.Bell punts 44 yards to PIT 25, Center-J.Landes. D.Ayers to PIT 27 for 2 yards (K.Greene). PENALTY on PIT-A.Shabazz, Illegal Block Above the Waist, 10 yards, enforced at PIT 23."
2016,Pre,6,08/12/2016,2,4078,00:14,PIT 19,4,Punt,PIT,PIT-DET,17 - 30,"(:14) (Punt formation) W.Monday punts 54 yards to DET 27, Center-M.Dooley, fair catch by J.Billingsley."
2016,Pre,7,08/14/2016,2,123,14:19,SF 24,1,Punt,SF,SF-HST,0 - 0,"(14:19) B.Pinion punts 44 yards to HST 32, Center-K.Nelson. T.Ervin MUFFS catch, and recovers at HST 35. T.Ervin to HST 35 for no gain (Q.Patton)."
2016,Pre,7,08/14/2016,2,242,12:44,SF 48,1,Punt,HST,SF-HST,0 - 0,"(12:44) S.Lechler punts 36 yards to SF 12, Center-J.Weeks, fair catch by B.Ellington."
2016,Pre,7,08/14/2016,2,817,05:08,HST 30,1,Punt,HST,SF-HST,7 - 7,"(5:08) S.Lechler punts 54 yards to SF 16, Center-J.Weeks, downed by HST-A.Dent."
2016,Pre,7,08/14/2016,2,1800,02:57,HST 46,2,Punt,HST,SF-HST,10 - 7,"(2:57) S.Lechler punts 54 yards to end zone, Center-J.Weeks, Touchback."
2016,Pre,7,08/14/2016,2,1962,01:09,SF 36,2,Punt,SF,SF-HST,10 - 7,"(1:09) B.Pinion punts 50 yards to HST 14, Center-K.Nelson. W.Fuller to HST 14 for no gain (D.Johnson)."
2016,Pre,7,08/14/2016,2,2067,00:43,HST 5,2,Punt,HST,SF-HST,10 - 7,"(:43) S.Lechler punts 75 yards to SF 20, Center-J.Weeks, out of bounds."
2016,Pre,7,08/14/2016,2,2410,13:38,HST 28,3,Punt,HST,SF-HST,13 - 7,"(13:38) S.Lechler punts 48 yards to SF 24, Center-J.Weeks. B.Treggs pushed ob at SF 24 for no gain (J.Grimes)."
2016,Pre,7,08/14/2016,2,2551,12:07,SF 32,3,Punt,SF,SF-HST,13 - 7,"(12:07) B.Pinion punts 38 yards to HST 30, Center-K.Nelson. W.Williams MUFFS catch, recovered by HST-R.Nelson at HST 32. R.Nelson to HST 32 for no gain (D.Johnson)."
2016,Pre,7,08/14/2016,2,2889,05:56,SF 21,3,Punt,SF,SF-HST,13 - 10,"(5:56) B.Pinion punts 25 yards to SF 46, Center-K.Nelson, out of bounds."
2016,Pre,7,08/14/2016,2,3159,02:42,SF 32,3,Punt,SF,SF-HST,13 - 17,"(2:42) B.Pinion punts 44 yards to HST 24, Center-K.Nelson, downed by SF-K.Nelson. PENALTY on HST-S.Vainuku, Offensive Holding, 10 yards, enforced at HST 24."
2016,Pre,7,08/14/2016,2,3321,00:18,HST 29,3,Punt,HST,SF-HST,13 - 17,"(:18) S.Lechler punts 47 yards to SF 24, Center-J.Weeks. B.Treggs to SF 24 for no gain (R.Nelson)."
2016,Pre,7,08/14/2016,2,3469,13:27,SF 46,4,Punt,SF,SF-HST,13 - 17,"(13:27) B.Pinion punts 37 yards to HST 17, Center-K.Nelson, fair catch by W.Williams."
2016,Pre,7,08/14/2016,2,4212,03:51,HST 37,4,Punt,HST,SF-HST,13 - 24,"(3:51) S.Lechler punts 54 yards to SF 9, Center-J.Weeks. D.White to SF 17 for 8 yards (S.Rashad)."
2016,Pre,7,08/14/2016,2,4309,03:24,SF 19,4,Punt,SF,SF-HST,13 - 24,"(3:24) B.Pinion punts 40 yards to HST 41, Center-K.Nelson. W.Williams to SF 49 for 10 yards (W.McManis)."
2016,Pre,8,08/13/2016,2,197,12:08,IND 34,1,Punt,IND,BUF-IND,0 - 0,"(12:08) P.McAfee punts 47 yards to BUF 19, Center-M.Overton. R.Bush ran ob at BUF 22 for 3 yards."
2016,Pre,8,08/13/2016,2,342,09:16,BUF 40,1,Punt,BUF,BUF-IND,0 - 0,"(9:16) C.Schmidt punts 60 yards to end zone, Center-G.Sanborn, Touchback."
2016,Pre,8,08/13/2016,2,460,08:36,IND 17,1,Punt,IND,BUF-IND,2 - 0,"(8:36) P.McAfee punt is BLOCKED by C.Gragg, Center-M.Overton, ball out of bounds in End Zone, SAFETY. Penalty on IND-P.McAfee, Illegal Bat, declined."
2016,Pre,8,08/13/2016,2,854,02:12,IND 37,1,Punt,IND,BUF-IND,9 - 0,"(2:12) P.McAfee punts 63 yards to end zone, Center-M.Overton, Touchback. PENALTY on BUF-J.Wilder, Unnecessary Roughness, 10 yards, enforced at BUF 20."
2016,Pre,8,08/13/2016,2,955,00:35,BUF 15,1,Punt,BUF,BUF-IND,9 - 0,"(:35) C.Schmidt punts 61 yards to IND 24, Center-R.Ferguson. Q.Bray to IND 23 for -1 yards (L.Alexander). PENALTY on IND-J.McNary, Illegal Block Above the Waist, 10 yards, enforced at IND 23."
2016,Pre,8,08/13/2016,2,1089,14:13,IND 20,2,Punt,IND,BUF-IND,9 - 0,"(14:13) P.McAfee punts 67 yards to BUF 13, Center-M.Overton. W.Powell to BUF 29 for 16 yards (A.Morrison). PENALTY on BUF-N.Robey-Coleman, Offensive Holding, 10 yards, enforced at BUF 29."
2016,Pre,8,08/13/2016,2,1207,12:05,BUF 28,2,Punt,BUF,BUF-IND,9 - 0,"(12:05) C.Schmidt punts 54 yards to IND 18, Center-G.Sanborn. Q.Bray pushed ob at IND 32 for 14 yards (L.Alexander)."
2016,Pre,8,08/13/2016,2,1308,11:04,IND 34,2,Punt,IND,BUF-IND,9 - 0,"(11:04) P.McAfee punts 51 yards to BUF 15, Center-M.Overton. W.Powell to BUF 16 for 1 yard (E.Jackson)."
2016,Pre,8,08/13/2016,2,1432,09:01,BUF 47,2,Punt,BUF,BUF-IND,9 - 0,"(9:01) C.Schmidt punts 38 yards to IND 15, Center-R.Ferguson, fair catch by Q.Bray."
2016,Pre,8,08/13/2016,2,1649,05:12,IND 35,2,Punt,IND,BUF-IND,9 - 0,"(5:12) P.McAfee punts 65 yards to end zone, Center-M.Overton, Touchback."
2016,Pre,8,08/13/2016,2,1739,04:10,BUF 24,2,Punt,BUF,BUF-IND,9 - 0,"(4:10) C.Schmidt punts 59 yards to IND 17, Center-G.Sanborn. Q.Bray to IND 27 for 10 yards (J.Dowling)."
2016,Pre,8,08/13/2016,2,2088,01:01,BUF 16,2,Punt,BUF,BUF-IND,9 - 6,"(1:01) C.Schmidt punts 46 yards to IND 38, Center-R.Ferguson. Q.Bray to IND 39 for 1 yard (L.Alexander)."
2016,Pre,8,08/13/2016,2,2678,09:20,IND 30,3,Punt,IND,BUF-IND,12 - 9,"(9:20) M.Palardy punts 50 yards to BUF 20, Center-M.Overton. W.Powell pushed ob at BUF 28 for 8 yards (S.McClure)."
2016,Pre,8,08/13/2016,2,2914,04:36,IND 42,3,Punt,BUF,BUF-IND,12 - 9,"(4:36) C.Schmidt punts 26 yards to IND 16, Center-R.Ferguson, fair catch by C.Rogers."
2016,Pre,8,08/13/2016,2,3120,01:01,IND 34,3,Punt,IND,BUF-IND,12 - 9,"(1:01) M.Palardy punts 46 yards to BUF 20, Center-M.Overton, fair catch by W.Powell."
2016,Pre,8,08/13/2016,2,3665,08:11,BUF 36,4,Punt,BUF,BUF-IND,12 - 16,"(8:11) C.Schmidt punts 38 yards to IND 26, Center-R.Ferguson. A.Debose to IND 32 for 6 yards (G.Gronkowski). PENALTY on BUF-G.Little, Player Out of Bounds on Punt, 5 yards, enforced at IND 32."
2016,Pre,8,08/13/2016,2,3858,04:23,BUF 41,4,Punt,IND,BUF-IND,12 - 16,"(4:23) M.Palardy punts 41 yards to end zone, Center-M.Overton, Touchback."
2016,Pre,9,08/11/2016,2,487,05:19,JAX 43,1,Punt,NYJ,NYJ-JAX,0 - 3,"(5:19) L.Edwards punts 29 yards to JAX 14, Center-T.Purdum, fair catch by R.Greene."
2016,Pre,9,08/11/2016,2,1059,11:01,NYJ 46,2,Punt,JAX,NYJ-JAX,7 - 10,"(11:01) (Punt formation) PENALTY on JAX-C.Tinker, False Start, 5 yards, enforced at NYJ 46 - No Play."
2016,Pre,9,08/11/2016,2,1086,09:58,JAX 49,2,Punt,JAX,NYJ-JAX,7 - 10,"(9:58) B.Nortman punts 39 yards to NYJ 12, Center-C.Tinker, downed by JAX-H.Pullard."
2016,Pre,9,08/11/2016,2,1178,08:24,NYJ 19,2,Punt,NYJ,NYJ-JAX,7 - 10,"(8:24) L.Edwards punts 48 yards to JAX 33, Center-T.Purdum. R.Greene to JAX 32 for -1 yards (M.Williams)."
2016,Pre,9,08/11/2016,2,1448,04:05,NYJ 44,2,Punt,JAX,NYJ-JAX,7 - 10,"(4:05) B.Nortman punts 44 yards to end zone, Center-C.Tinker, Touchback."
2016,Pre,9,08/11/2016,2,1545,03:05,NYJ 28,2,Punt,NYJ,NYJ-JAX,7 - 10,"(3:05) L.Edwards punts 30 yards to JAX 42, Center-T.Purdum, out of bounds. PENALTY on NYJ-D.Bailey, Offensive Holding, 10 yards, enforced at JAX 42."
2016,Pre,9,08/11/2016,2,2395,06:59,JAX 33,3,Punt,JAX,NYJ-JAX,17 - 13,"(6:59) R.Quigley punts 51 yards to NYJ 16, Center-C.Tinker. J.Marshall to NYJ 16 for no gain (T.Armbrister)."
2016,Pre,9,08/11/2016,2,2847,15:00,JAX 46,4,Punt,JAX,NYJ-JAX,17 - 13,"(15:00) R.Quigley punts 50 yards to NYJ 4, Center-C.Tinker, downed by JAX-B.Walters. PENALTY on JAX-C.Tinker, Unnecessary Roughness, 15 yards, enforced at NYJ 4."
2016,Pre,9,08/11/2016,2,3000,12:08,NYJ 39,4,Punt,NYJ,NYJ-JAX,17 - 13,"(12:08) L.Edwards punts 46 yards to JAX 15, Center-T.Purdum, fair catch by B.Walters."
2016,Pre,9,08/11/2016,2,3196,08:25,JAX 33,4,Punt,JAX,NYJ-JAX,17 - 13,"(8:25) R.Quigley punts 40 yards to NYJ 27, Center-C.Tinker. R.Morris to NYJ 31 for 4 yards (T.Holmes)."
2016,Pre,9,08/11/2016,2,3488,03:55,NYJ 49,4,Punt,JAX,NYJ-JAX,17 - 13,"(3:55) R.Quigley punts 32 yards to NYJ 17, Center-C.Tinker, downed by JAX-N.Marshall."
2016,Pre,9,08/11/2016,2,3589,02:55,NYJ 22,4,Punt,NYJ,NYJ-JAX,17 - 13,"(2:55) L.Edwards punts 50 yards to JAX 28, Center-T.Purdum, downed by NYJ-R.Miles."
2016,Pre,9,08/11/2016,2,3675,02:24,JAX 28,4,Punt,JAX,NYJ-JAX,17 - 13,"(2:24) R.Quigley punts 45 yards to NYJ 27, Center-C.Tinker. C.Worthy to NYJ 27 for no gain (T.Holmes)."
2016,Pre,9,08/11/2016,2,3793,01:48,NYJ 33,4,Punt,NYJ,NYJ-JAX,17 - 13,"(1:48) L.Edwards punts 50 yards to JAX 17, Center-T.Purdum. N.Marshall to JAX 22 for 5 yards (J.Martin)."
2016,Pre,10,08/12/2016,2,491,08:16,MIA 30,1,Punt,MIA,NYG-MIA,7 - 0,"(8:16) M.Darr punts 38 yards to NYG 32, Center-J.Denney, fair catch by B.Rainey."
2016,Pre,10,08/12/2016,2,642,06:14,NYG 47,1,Punt,NYG,NYG-MIA,7 - 0,"(6:14) B.Wing punts 46 yards to MIA 7, Center-Z.DeOssie, downed by NYG-Z.DeOssie."
2016,Pre,10,08/12/2016,2,758,04:37,MIA 7,1,Punt,MIA,NYG-MIA,7 - 0,"(4:37) M.Darr punts 56 yards to NYG 37, Center-J.Denney. B.Rainey to NYG 45 for 8 yards (M.Hull). FUMBLES (M.Hull), recovered by NYG-E.Apple at NYG 48. E.Apple to NYG 48 for no gain (A.Hendy)."
2016,Pre,10,08/12/2016,2,925,02:57,NYG 46,1,Punt,NYG,NYG-MIA,7 - 0,"(2:57) B.Wing punts 46 yards to MIA 8, Center-Z.DeOssie. J.Grant pushed ob at MIA 16 for 8 yards (O.Darkwa)."
2016,Pre,10,08/12/2016,2,1275,14:04,MIA 18,2,Punt,MIA,NYG-MIA,10 - 0,"(14:04) M.Darr punts 50 yards to NYG 32, Center-J.Denney. B.Rainey to NYG 33 for 1 yard (M.Hull, J.Lucas). PENALTY on NYG-L.McFadden, Offensive Holding, 10 yards, enforced at NYG 33."
2016,Pre,10,08/12/2016,2,1409,12:02,NYG 37,2,Punt,NYG,NYG-MIA,10 - 0,"(12:02) B.Wing punts 39 yards to MIA 24, Center-T.Ott. J.Grant to MIA 36 for 12 yards (B.Jackson, B.Wing)."
2016,Pre,10,08/12/2016,2,1501,10:38,MIA 41,2,Punt,MIA,NYG-MIA,10 - 0,"(10:38) M.Darr punts 49 yards to NYG 10, Center-J.Denney. B.Rainey to NYG 18 for 8 yards (M.Hull, D.Jones)."
2016,Pre,10,08/12/2016,2,2693,10:23,NYG 42,3,Punt,MIA,NYG-MIA,10 - 17,"(10:23) M.Darr punts 30 yards to NYG 12, Center-R.DiSalvo, out of bounds."
2016,Pre,10,08/12/2016,2,2810,08:40,NYG 20,3,Punt,NYG,NYG-MIA,10 - 17,"(8:40) B.Wing punts 65 yards to MIA 15, Center-Z.DeOssie. J.Grant to MIA 27 for 12 yards (M.LaCosse, Z.DeOssie)."
2016,Pre,10,08/12/2016,2,3228,00:38,NYG 27,3,Punt,NYG,NYG-MIA,10 - 20,"(:38) B.Wing punts 48 yards to MIA 25, Center-Z.DeOssie. J.Grant to NYG 47 for 28 yards (I.Williams, C.Taylor)."
2016,Pre,10,08/12/2016,2,3432,12:46,NYG 44,4,Punt,MIA,NYG-MIA,10 - 20,"(12:46) M.Darr punts 35 yards to NYG 9, Center-R.DiSalvo, downed by MIA-G.Whalen."
2016,Pre,10,08/12/2016,2,3790,06:30,NYG 31,4,Punt,NYG,NYG-MIA,10 - 27,"(6:30) B.Wing punts 37 yards to MIA 32, Center-T.Ott, fair catch by A.Cruz."
2016,Pre,10,08/12/2016,2,3878,05:08,MIA 38,4,Punt,MIA,NYG-MIA,10 - 27,"(5:08) M.Darr punts 46 yards to NYG 16, Center-R.DiSalvo. K.Maye pushed ob at NYG 31 for 15 yards (R.DiSalvo). PENALTY on NYG-C.Taylor, Unnecessary Roughness, 15 yards, enforced at NYG 31."
2016,Pre,10,08/12/2016,2,3981,03:35,NYG 23,4,Punt,NYG,NYG-MIA,10 - 27,"(3:35) B.Wing punts 53 yards to MIA 24, Center-T.Ott. A.Cruz to MIA 34 for 10 yards (N.Whitlock)."
2016,Pre,11,08/12/2016,2,339,09:59,MIN 39,1,Punt,MIN,CIN-MIN,0 - 0,"(9:59) J.Locke punts 53 yards to CIN 8, Center-K.McDermott. T.Boyd to CIN 22 for 14 yards (T.Roberson). PENALTY on CIN-C.Core, Offensive Holding, 7 yards, enforced at CIN 14. {Boyd credited with 6 yard return due to the penalty}"
2016,Pre,11,08/12/2016,2,1327,04:34,CIN 33,2,Punt,CIN,CIN-MIN,0 - 7,"(4:34) K.Huber punts 50 yards to MIN 17, Center-C.Harris. T.Stoudermire to MIN 27 for 10 yards (C.Peerman; D.Smith)."
